,Company name Latin alphabet,BvD ID number,Country,Country ISO code,"Operating revenue (Turnover)
th USD Last avail. yr","P/L before tax
th USD Last avail. yr","P/L for period [=Net income]
th USD Last avail. yr","Cash flow
th USD Last avail. yr","Total assets
th USD Last avail. yr","Shareholders funds
th USD Last avail. yr","Current ratio
Last avail. yr","Profit margin (%)
Last avail. yr","ROE using P/L before tax (%)
Last avail. yr","ROCE using P/L before tax (%)
Last avail. yr","Solvency ratio (Asset based) (%)
Last avail. yr","Number of employees
Last avail. yr"
1.,AIRBUS SE,NL24288945,Netherlands,NL,59 736 738,5 693 582,4 771 645,7 471 764,121 241 465,10 743 847,1.17,9.53,52.99,9.71,8.86,126 495
2.,AIRBUS,FR383474814,France,FR,46 503 021,935 643,1 306 175,1 450 146,67 241 069,11 035 552,2.28,2.01,8.48,2.04,16.41,8 944
3.,BAE SYSTEMS PLC,GB01470151,United Kingdom,GB,26 837 099,2 834 574,2 361 697,3 328 945,36 453 156,10 301 190,1.01,10.56,27.52,13.32,28.26,82 000
4.,SAFRAN,FR562082909,France,FR,18 434 203,303 537,48 702,1 792 906,47 247 554,15 029 606,1.04,1.65,2.02,1.76,31.81,77 008
5.,LEONARDO S.P.A.,IT00401990585,Italy,IT,16 651 490,852 848,663 704,1 258 319,32 142 064,7 310 935,1.00,5.12,11.67,7.66,22.75,50 413
6.,ROLLS-ROYCE HOLDINGS PLC,GB07524813,United Kingdom,GB,15 635 831,-392 273,161 208,1 511 325,38 520 648,-6 228 002,1.19,-2.51,n.s.,0.64,-16.17,44 000
7.,AEROSPATIALE MATRA SA,FR572094514,France,FR,13 228 524,133 394,30 630,392 371,17 665 445,1 620 179,1.21,1.01,8.23,5.59,9.17,52 890
8.,AIRBUS OPERATIONS,FR420916918,France,FR,11 245 588,1 148 457,945 721,1 967 327,16 090 853,10 575 089,1.64,10.21,10.86,9.45,65.72,20 256
9.,AIRBUS OPERATIONS GMBH,DE2150398592,Germany,DE,10 407 029,-2 308 174,-2 016 124,-1 677 445,7 247 248,1 319 132,1.80,-22.18,-174.98,-37.63,18.20,19 023
10.,SAFRAN AIRCRAFT ENGINES,FR414815217,France,FR,8 470 176,970 239,789 450,965 213,13 117 729,1 625 176,1.14,11.46,59.70,30.13,12.39,12 306
11.,BAE SYSTEMS (OPERATIONS) LIMITED,GB01996687,United Kingdom,GB,8 452 672,495 715,425 858,549 451,13 405 787,3 483 436,0.39,5.87,14.23,9.52,25.99,15 257
12.,DASSAULT AVIATION,FR712042456,France,FR,8 319 363,847 375,685 667,859 236,18 366 091,6 003 328,1.14,10.19,14.12,14.22,32.69,12 371
13.,MTU AERO ENGINES AG,DE8170664388,Germany,DE,4 787 501,357 902,251 437,551 576,9 405 113,3 125 977,1.37,7.48,11.45,7.10,33.24,10 508
