,Company name Latin alphabet,BvD ID number,Country ISO code,Country,"City
Latin Alphabet","Postcode
Latin Alphabet","Address line 1
Latin Alphabet",NUTS1,NUTS2,NUTS3
1.,AIRBUS SE,NL24288945,NL,Netherlands,LEIDEN,2333 CS,MENDELWEG 30,NL3 - Western Netherlands,NL33 - Zuid-Holland,NL337 - Agglomeratie Leiden en Bollenstreek
2.,AIRBUS,FR383474814,FR,France,BLAGNAC,31700,2 ROND POINT EMILE DEWOITINE,FRJ - Languedoc-Roussillon-Midi-Pyrenees,FRJ2 - Midi-Pyrenees,FRJ23 - Haute-Garonne
3.,BAE SYSTEMS PLC,GB01470151,GB,United Kingdom,LONDON,SW1Y 5AD,"6, CARLTON GARDENS",UKI - London,UKI3 - Inner London - West,UKI32 - Westminster
4.,SAFRAN,FR562082909,FR,France,PARIS,75724,"2, BOULEVARD DU GENERAL MARTIAL VALIN",,,
5.,LEONARDO S.P.A.,IT00401990585,IT,Italy,ROMA,00195,PIAZZA MONTE GRAPPA 4,ITI - Centre,ITI4 - Lazio,ITI43 - Roma
6.,ROLLS-ROYCE HOLDINGS PLC,GB07524813,GB,United Kingdom,LONDON,N1 9FX,"90, YORK WAY",,,
7.,AEROSPATIALE MATRA SA,FR572094514,FR,France,PARIS CEDEX 16,75781,"37, BOULEVARD DE MONTMORENCY",,,
8.,AIRBUS OPERATIONS,FR420916918,FR,France,TOULOUSE,31300,316 ROUTE DE BAYONNE,FRJ - Languedoc-Roussillon-Midi-Pyrenees,FRJ2 - Midi-Pyrenees,FRJ23 - Haute-Garonne
9.,AIRBUS OPERATIONS GMBH,DE2150398592,DE,Germany,HAMBURG,21129,KREETSLAG 10,DE6 - Hamburg,DE60 - Hamburg,"DE600 - Hamburg, Freie und Hansestadt"
10.,SAFRAN AIRCRAFT ENGINES,FR414815217,FR,France,PARIS,75015,2 BD DU GENERAL MARTIAL VALIN,FR1 - Ile-De-France,FR10 - Ile-De-France,FR101 - Paris
11.,BAE SYSTEMS (OPERATIONS) LIMITED,GB01996687,GB,United Kingdom,FARNBOROUGH,GU14 6YU,PO BOX 87,UKJ - South East (England),UKJ3 - Hampshire and Isle of Wight,UKJ37 - North Hampshire
12.,DASSAULT AVIATION,FR712042456,FR,France,PARIS,75008,"9, ROND-POINT DES CHAMPS-ELYSEES",FR1 - Ile-De-France,FR10 - Ile-De-France,FR101 - Paris
13.,MTU AERO ENGINES AG,DE8170664388,DE,Germany,MUNCHEN,80995,DACHAUER STRASSE 665,DE2 - Bayern,DE21 - Oberbayern,"DE212 - Muenchen, Landeshauptstadt"
14.,AIRBUS HELICOPTERS,FR352383715,FR,France,MARIGNANE,13700,AEROPORT DE MARSEILLE PROVENCE,FRL - Provence-Alpes-Cote D'Azur,FRL0 - Provence-Alpes-Cote D'Azur,FRL04 - Bouches-du-Rhone
15.,AIRBUS OPERATIONS LIMITED,GB03468788,GB,United Kingdom,BRISTOL,BS34 7PA,PEGASUS HOUSE AEROSPACE AVENUE,,,
16.,SAAB AB,SE5560360793,SE,Sweden,LINKOPING,581 88,BRODERNA UGGLAS GATA,SE1 - East Sweden,SE12 - East Middle Sweden,SE123 - Ostergotland
17.,AIRBUS DEFENCE AND SPACE SA.,ESA28006104,ES,Spain,MADRID,28022,"AVENIDA ARAGON, 404 1  PLANTA",ES3 - Madrid,ES30 - Madrid,ES300 - Madrid
18.,AIRBUS DEFENCE AND SPACE SAS,FR393341516,FR,France,TOULOUSE,31400,ZONE INDUSTRIELLE DU PALAYS,FRJ - Languedoc-Roussillon-Midi-Pyrenees,FRJ2 - Midi-Pyrenees,FRJ23 - Haute-Garonne
19.,AIRBUS HELICOPTERS DEUTSCHLAND GMBH,DE8130023686,DE,Germany,DONAUWOERTH,86609,INDUSTRIESTR. 4,DE2 - Bayern,DE27 - Schwaben,DE27E - Oberallgaeu
20.,DAIMLERCHRYSLER AEROSPACE AG,DE8170001445,DE,Germany,OTTOBRUNN,85521,WILLY-MESSERSCHMITT-STR.,,,
21.,ARIANEGROUP SAS,FR519032247,FR,France,LES MUREAUX,78130,LES MUREAUX,FR1 - Ile-De-France,FR10 - Ile-De-France,FR103 - Yvelines
22.,THALES ALENIA SPACE FRANCE,FR414725101,FR,France,TOULOUSE,31100,26 AVENUE JEAN FRANCOIS CHAMPOLLION,FRJ - Languedoc-Roussillon-Midi-Pyrenees,FRJ2 - Midi-Pyrenees,FRJ23 - Haute-Garonne
23.,PREMIUM AEROTEC GMBH,DE8030295243,DE,Germany,AUGSBURG,86179,HAUNSTETTER STR. 225,DE2 - Bayern,DE27 - Schwaben,DE275 - Aichach-Friedberg
24.,SAFRAN LANDING SYSTEMS,FR712019538,FR,France,VELIZY VILLACOUBLAY,78140,INOVEL PARC SUD,FR1 - Ile-De-France,FR10 - Ile-De-France,FR103 - Yvelines
25.,AIRBUS ATLANTIC,FR778127613,FR,France,ROCHEFORT,17300,ANCIEN ARSENAL,FRI - Aquitaine-Limousin-Poitou-Charentes,FRI3 - Poitou-Charentes,FRI32 - Charente-Maritime
26.,AIRBUS MILITARY SL,ESB83403923,ES,Spain,MADRID,28022,"AVENIDA ARAGON, 404",ES3 - Madrid,ES30 - Madrid,ES300 - Madrid
27.,FIATAVIO DENOMINABILE FIAT,IT01661400018,IT,Italy,TORINO,10127,VIA NIZZA 312,ITC - Northwest,ITC1 - Piemonte,ITC11 - Torino
28.,ROLLS-ROYCE DEUTSCHLAND LTD & CO. KG,DE2010625300,DE,Germany,BLANKENFELDE-MAHLOW,15827,ESCHENWEG 11,DE4 - Brandenburg,DE40 - Brandenburg,DE40H - Teltow-Flaeming
29.,SAFRAN NACELLES,FR352050512,FR,France,GONFREVILLE L ORCHER,76700,ROUTE DU PONT VIII,FRD - Normandie,FRD2 - Haute-Normandie,FRD22 - Seine-Maritime
30.,GE AVIO S.R.L.,IT10898340012,IT,Italy,RIVALTA DI TORINO,10040,VIA I MAGGIO 99,ITC - Northwest,ITC1 - Piemonte,ITC11 - Torino
31.,GE AIRCRAFT ENGINE SERVICES LIMITED,GB02605713,GB,United Kingdom,CARDIFF,CF15 7YJ,CAERPHILLY ROAD,UKL - Wales,UKL1 - West Wales and The Valleys,UKL15 - Central Valleys
32.,AIRBUS OPERATIONS SL,ESB82875055,ES,Spain,GETAFE,28906,"PASEO JOHN LENNON, S/N",ES3 - Madrid,ES30 - Madrid,ES300 - Madrid
33.,SOCIETE EUROPEENNE DE PROPULSION-SEP SA,FR91007EF,FR,France,SURESNES,92150,"24, RUE SALOMON DE ROTHSCHILD",,,
34.,INDUSTRIA DE TURBO PROPULSORES SAU,ESA48179196,ES,Spain,ZAMUDIO,48170,"POLIGONO TEKNOLOGI ELKARTEGIA, ED 300",ES2 - Northeast,ES21 - Pais Vasco,ES213 - Vizcaya
35.,THALES ALENIA SPACE ITALIA S.P.A.,IT02101600480,IT,Italy,ROMA,00131,VIA SACCOMURO 24,ITI - Centre,ITI4 - Lazio,ITI43 - Roma
36.,GKN AEROSPACE SWEDEN AB,SE5560290347,SE,Sweden,TROLLHATTAN,461 81,,SE2 - South Sweden,SE23 - West Sweden,SE232 - Vastra Gotaland
37.,FAIRCHILD DORNIER GMBH,DE8290002633,DE,Germany,WESSLING,82234,OBERPFAFFENHOFEN-FLU,,,
38.,GKN AEROSPACE SERVICES LIMITED,GB00355922,GB,United Kingdom,SOLIHULL,B90 8BG,"2ND FLOOR, ONE CENTRAL BOULEVARD",UKG - West Midlands (England),UKG3 - West Midlands,UKG32 - Solihull
39.,LIEBHERR-AEROSPACE LINDENBERG GMBH,DE8150005372,DE,Germany,LINDENBERG,88161,PFAENDERSTR. 50 -52,DE2 - Bayern,DE27 - Schwaben,DE27A - Lindau
40.,FACC AG,AT9110705653,AT,Austria,RIED IM INNKREIS,4910,FISCHERSTRASSE 9,AT3 - Western Austria,AT31 - Oberosterreich,AT311
41.,SAFRAN LANDING SYSTEMS UK LTD,GB03548809,GB,United Kingdom,GLOUCESTER,GL2 9QH,CHELTENHAM ROAD EAST,UKK - South West (England),"UKK1 - Gloucestershire, Wiltshire and Bristol/Bath area",UKK13 - Gloucestershire
42.,PANAVIA AIRCRAFT GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,DE8350102267,DE,Germany,HALLBERGMOOS,85399,AM SOELDNERMOOS 17,DE2 - Bayern,DE21 - Oberbayern,DE21B - Freising
43.,SAFRAN AERO BOOSTERS,BE0432618812,BE,Belgium,MILMORT,4041,ROUTE DE LIERS 121,BE3 - Walloon Region,BE33 - Liege,BE332 - Liege
44.,LIEBHERR-AEROSPACE TOULOUSE SAS,FR552016834,FR,France,TOULOUSE,31200,408 AVENUE DES ETATS UNIS,FRJ - Languedoc-Roussillon-Midi-Pyrenees,FRJ2 - Midi-Pyrenees,FRJ23 - Haute-Garonne
45.,GOODRICH ACTUATION SYSTEMS LIMITED,GB04482320,GB,United Kingdom,SOLIHULL,B90 4SS,"FORE 1, FORE BUSINESS PARK",UKG - West Midlands (England),UKG3 - West Midlands,UKG32 - Solihull
46.,PFW AEROSPACE GMBH,DE7310046754,DE,Germany,SPEYER,67346,AM NEUEN RHEINHAFEN 10,DEB - Rheinland-Pfalz,DEB3 - Rheinhessen-Pfalz,DEB38 - Speyer
47.,AIRBUS HELICOPTERS ESPANA SOCIEDAD ANONIMA.,ESA78648110,ES,Spain,ALBACETE,02006,"CARRETERA LAS PENAS (PQ. AERONAUTICO Y LOGISTICO KM 5.300), S/N",ES4 - Centre,ES42 - Castilla-La Mancha,ES421 - Albacete
48.,SPIRIT AEROSYSTEMS (EUROPE) LIMITED,GB05663660,GB,United Kingdom,LONDON,E1W 1AA,TOWER BRIDGE HOUSE,UKI - London,UKI4 - Inner London - East,UKI42 - Tower Hamlets
49.,AERCAP IRELAND LIMITED,IE051950,IE,Ireland,,V14 T446,AVIATION HOUSE,,,
50.,LATECOERE,FR572050169,FR,France,TOULOUSE,31079,P.O. BOX: 25211,,,
51.,SAFRAN TRANSMISSION SYSTEMS,FR692015217,FR,France,COLOMBES,92700,18 BOULEVARD LOUIS SEGUIN,FR1 - Ile-De-France,FR10 - Ile-De-France,FR105 - Hauts-de-Seine
